scaffold	start	end	mid	sites	ML_rho
chr18	7500001	7600000	7547495	5554	0.36700000
chr18	7600001	7700000	7649159	5050	0.33500000
chr18	7700001	7800000	7748370	5679	0.30100000
chr18	7800001	7900000	7851145	5985	0.23400000
chr18	7900001	8000000	7947310	4476	0.20100000
chr18	8000001	8100000	8052732	4752	0.03600000
chr18	8100001	8200000	8152608	5313	0.12500000
chr18	8200001	8300000	8244641	4568	0.26100000
chr18	8300001	8400000	8349617	4850	0.21300000
chr18	8400001	8500000	8450592	5272	0.11000000
chr18	8500001	8600000	8551057	5630	0.30100000
chr18	8600001	8700000	8651023	5028	0.16100000
chr18	8700001	8800000	8749848	6192	0.16800000
chr18	8800001	8900000	8849263	4830	0.06700000
chr18	8900001	9000000	8946341	5099	0.15700000
chr18	9000001	9100000	9051165	5394	0.10000000
chr18	9100001	9200000	9149324	5653	0.13400000
chr18	9200001	9300000	9249230	6163	0.20100000
chr18	9300001	9400000	9351994	5548	0.26700000
chr18	9400001	9500000	9449981	5779	0.15100000
chr18	9500001	9600000	9550248	6364	0.08100000
chr18	9600001	9700000	9647977	6011	0.15100000
chr18	9700001	9800000	9752049	6196	0.15100000
chr18	9800001	9900000	9850559	6414	0.15100000
chr18	9900001	10000000	9945646	5700	0.15100000
chr18	10000001	10100000	10056361	5837	0.10100000
chr18	10100001	10200000	10144980	5740	0.15100000
chr18	10200001	10300000	10246525	4999	0.16800000
chr18	10300001	10400000	10352072	5543	0.05600000
chr18	10400001	10500000	10450213	6629	0.18000000
chr18	10500001	10600000	10542757	6032	0.12500000
chr18	10600001	10700000	10648011	5838	0.15100000
chr18	10700001	10800000	10751097	5359	0.14400000
chr18	10800001	10900000	10844899	5997	0.13400000
chr18	10900001	11000000	10949680	5541	0.13400000
chr18	11000001	11100000	11053017	5827	0.10100000
chr18	11100001	11200000	11151930	6987	0.06000000
chr18	11200001	11300000	11251407	6889	0.17200000
chr18	11300001	11400000	11352661	6430	0.10100000
chr18	11400001	11500000	11448891	5804	0.14400000
chr18	11500001	11600000	11547984	5215	0.20100000
chr18	11600001	11700000	11645322	5412	0.15100000
chr18	11700001	11800000	11749946	4870	0.16700000
chr18	11800001	11900000	11855630	4995	0.26700000
chr18	11900001	12000000	11950962	6040	0.21700000
chr18	12000001	12100000	12051842	5975	0.22200000
chr18	12100001	12200000	12150093	6522	0.20100000
chr18	12200001	12300000	12253119	5882	0.24300000
chr18	12300001	12400000	12351250	4661	0.16700000
chr18	12400001	12500000	12450574	6752	0.10100000
chr18	12500001	12600000	12552698	5395	0.05000000
chr18	12600001	12700000	12655794	5209	0.26100000
chr18	12700001	12800000	12747713	4871	0.15100000
chr18	12800001	12900000	12850906	5601	0.06000000
chr18	12900001	13000000	12950921	5881	0.30100000
chr18	13000001	13100000	13050722	7243	0.26700000
chr18	13100001	13200000	13146589	6063	0.20100000
chr18	13200001	13300000	13249018	5693	0.17600000
chr18	13300001	13400000	13355040	5507	0.10000000
chr18	13400001	13500000	13446283	6415	0.25000000
chr18	13500001	13600000	13549558	6076	0.22000000
chr18	13600001	13700000	13650677	5519	0.21500000
chr18	13700001	13800000	13752268	5997	0.10000000
chr18	13800001	13900000	13850881	5248	0.20100000
chr18	13900001	14000000	13952623	6192	0.18000000
chr18	14000001	14100000	14049677	6377	0.15100000
chr18	14100001	14200000	14152226	5848	0.20100000
chr18	14200001	14300000	14247959	6053	0.11700000
chr18	14300001	14400000	14349881	5654	0.17200000
chr18	14400001	14500000	14448018	6354	0.20100000
chr18	14500001	14600000	14547166	5049	0.15100000
chr18	14600001	14700000	14648030	4807	0.08500000
chr18	14700001	14800000	14751704	4824	0.12000000
chr18	14800001	14900000	14849132	4999	0.26300000
chr18	14900001	15000000	14950486	4654	0.12500000
chr18	15000001	15100000	15050224	5086	0.30100000
chr18	15100001	15200000	15152602	4936	0.25000000
chr18	15200001	15300000	15251936	5903	0.14100000
chr18	15300001	15400000	15352186	5320	0.10100000
chr18	15400001	15500000	15446177	5030	0.02800000
chr18	15500001	15600000	15555223	5334	0.02300000
chr18	15600001	15700000	15650346	5609	0.07200000
chr18	15700001	15800000	15746355	6637	0.11700000
chr18	15800001	15900000	15851037	6635	0.15100000
chr18	15900001	16000000	15946963	6594	0.11100000
chr18	16000001	16100000	16050347	5424	0.03400000
chr18	16100001	16200000	16151881	6213	0.06000000
chr18	16200001	16300000	16250956	6313	0.03000000
chr18	16300001	16400000	16349997	6997	0.03400000
chr18	16400001	16500000	16443632	5562	0.01700000
chr18	16500001	16600000	16553622	4858	0.03400000
chr18	16600001	16700000	16648639	5961	0.03400000
chr18	16700001	16800000	16749646	3459	0.02500000
